0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,Class A and,,,,,,,Class A and,,,,,,
,Class ,,,,,,,Class ,,,,,,
,,,,Accumulated,,,,,,,Accumulated,,,
,Common Stock,,,,,,,Common Stock,,,,,,
,,,Additional,Other,,,Total,,,Additional,Other,,,Total
,,Par,Paid-In,Comprehensive,,Retained,Stockholders',,Par,Paid-In,Comprehensive,,Retained,Stockholders'
,Shares,Value,Capital,Loss,,Earnings,Equity,Shares,Value,Capital,Loss,,Earnings,Equity
alances at,,,,,,,,,,,,,,
beginning of,,,,,,,,,,,,,,
period,"2852
  ",—    45851,,,489,"55692
  ",101054,"2854
  ",—    42906,,,760,"41981
  ",84127
Issuance of,,,,,,,,,,,,,,
common stock,8,—,—,,—,—,—,8,—,4,,—,—,4
Shares withheld,,,,,,,,,,,,,,
related to net,,,,,,,,,,,,,,
share settlement,3,—,498,,—,192,690,3,—,387,,—,125,512
Share-based,,,,,,,,,,,,,,
compensation,—,—,1335,,—,—,1335,—,—,1010,,—,—,1010
Share,,,,,,,,,,,,,,
repurchases,6,—,—,,—,1242,1242,3,—,—,,—,521,521
Other,,,,,,,,,,,,,,
comprehensive,,,,,,,,,,,,,,
loss,—,—,—,,55,—,55,—,—,—,,21,—,21
Net income,—,—,—,,—,4902,4902,—,—,—,,—,2429,2429
alances at end,,,,,,,,,,,,,,
of period,"2851
  ",—    46688,,,544,"59160
  ",105304,"2856
  ",—    43533,,,781,"43764
  ",86516
