0,1,2,3,4,5
percentages and number of employees:,,,,,
,,Three Months Ended,,,
,,September 30,,,
,2021,2022,, Change, Change
Consolidated revenues,  65118,  69092,,3974,6 
Change in consolidated constant currency revenues,,,,,11 
Cost of revenues,  27621,  31158,,3537,13 
Operating expenses,  16466,  20799,,4333,26 
Operating income,  21031,  17135,,3896,19 
Operating margin,32 ,25 ,,,7 
Other income expense net," 
2033"," 
902",,2935,144 
Net Income,  18936,  13910,,5026,27 
Diluted EPS," 
1.40"," 
1.06",,0.34,24 
Number of Employees,150028,186779,,36751,24 
•,Revenues were 69.1 billion an increase of 6 year over year primarily driven by an increase in Google,,,,
