0,1,2,3,4
,Accrued expenses and other current liabilities consisted of the following in millions:,,,
,,As of,,As of
,,December 31 2022,,September 30 2023
European Commission fines1,,9106,,9143
Income taxes payable net2,,1632,,13528
Accrued customer liabilities,,3619,,3595
Accrued purchases of property and equipment,,3019,,4090
Current operating lease liabilities,,2477,,2715
Other accrued expenses and current liabilities,,18013,,22531
Accrued expenses and other current liabilities,,37866,,55602
1,,,,
