0,1,2,3,4,5,6,7,8,9,10,11,12
,,Class A,,Class ,,Class C,,Class A,,Class ,,Class C
asic net income per share:,,,,,,,,,,,,
Numerator,,,,,,,,,,,,
Allocation of undistributed earnings,,6393,,946,,6571,,9271,,1369,,9049
Denominator,,,,,,,,,,,,
Number of shares used in per share computation,,5983,,885,,6150,,5924,,875,,5782
asic net income per share,,1.07,,1.07,,1.07,,1.56,,1.56,,1.56
Diluted net income per share:,,,,,,,,,,,,
Numerator,,,,,,,,,,,,
Allocation of undistributed earnings for basic,,,,,,,,,,,,
computation,,6393,,946,,6571,,9271,,1369,,9049
Reallocation of undistributed earnings as a result of,,,,,,,,,,,,
conversion of Class  to Class A shares,,946,,0,,0,,1369,,0,,0
Reallocation of undistributed earnings,,45,,6,,45,,96,,12,,96
Allocation of undistributed earnings,,7294,,940,,6616,,10544,,1357,,9145
Denominator,,,,,,,,,,,,
Number of shares used in basic computation,,5983,,885,,6150,,5924,,875,,5782
Weighted-average effect of dilutive securities,,,,,,,,,,,,
Add:,,,,,,,,,,,,
Conversion of Class  to Class A shares outstanding,,885,,0,,0,,875,,0,,0
Restricted stock units and other contingently,,,,,,,,,,,,
issuable shares,,0,,0,,79,,0,,0,,115
Number of shares used in per share computation,,6868,,885,,6229,,6799,,875,,5897
Diluted net income per share,,1.06,,1.06,,1.06,,1.55,,1.55,,1.55
