0,1,2,3,4,5,6,7,8,9,10
,,The following table presents information with respect to Alphabet's repurchases of Class A and Class C stock,,,,,,,,
during the quarter ended September 30 2023.,,,,,,,,,,
,,,,,,,,Total Number of,,Approximate
,,,,,,,,Shares,,Dollar Value of
,,,,,,,,Purchased as,,Shares that May
,,Total Number of,Total Number of,,,,,Part of Publicly,,Yet e
,,Class A Shares,Class C Shares,,,,,Announced,,Purchased
,,Purchased,Purchased,,Average Price,,Average Price,Programs,,Under the
,,in thousands,in thousands,,Paid per Class,,Paid per Class,in thousands,,Program
,,,,,,,,,,
,Period,,,,A Share 2,,C Share 2,,,in millions
July 1 - 31,,3647,36664,,124.11,,125.22,40311,,63066
,August 1 - 31,4043,39758,,132.61,,132.16,43801,,57320
,September 1 -,,,,,,,,,
30,,6028,31408,,135.44,,135.90,37436,,52267
,Total,13718,107830,,,,,121548,,
1,,,,,,,,,,
