0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
asic net income per share:,,,,,,,,,,,,,,,,
Numerator,,,,,,,,,,,,,,,,
Allocation of distributed,,,,,,,,,,,,,,,,
earnings cash,,,,,,,,,,,,,,,,
dividends paid,,0.0,,0.0,,0.0,,0.0,,2343.0,,346.0,,2232.0,,4921.0
Allocation of,,,,,,,,,,,,,,,,
undistributed earnings,,24851.0,,3682.0,,24575.0,,53108.0,,32599.0,,4821.0,,31241.0,,68661.0
Net income,,24851.0,,3682.0,,24575.0,,53108.0,,34942.0,,5167.0,,33473.0,,73582.0
Denominator,,,,,,,,,,,,,,,,
Number of shares used,,,,,,,,,,,,,,,,
in per share,,,,,,,,,,,,,,,,
computation,,5932.0,,879.0,,5866.0,,12677.0,,5863.0,,867.0,,5619.0,,12349.0
asic net income per share,,4.19,,4.19,,4.19,,4.19,,5.96,,5.96,,5.96,,5.96
Diluted net income per,,,,,,,,,,,,,,,,
