0,1,2,3,4,5,6,7,8,9,10,11
,,Three Months Ended,,,,,,,,,
,,,September 30,,,,Constant,,Less,,Constant
,,,,,,Less FX,Currency,As,Hedging,Less FX,Currency
,,2023,,2024.0,,Effect,Revenues,Reported,Effect,Effect,Revenues
United States,,36354,,43139.0,,0," 
43139",19 ,,0 ,19 
EMEA,,22661,,25472.0,,146,25618,12 ,,1 ,13 
APAC,,13126,,14547.0,,285,14832,11 ,,2 ,13 
Other Americas,,4553,,5093.0,,586,5679,12 ,,13 ,25 
Revenues excluding hedging,,,,,,,,,,,
effect,,76694,,88251.0,,1017,89268,15 ,,1 ,16 
Hedging gains losses,,1,,17.0,,,,,,,
Total revenues1,,76693,,88268.0,,," 
89268",15 ,0 ,1 ,16 
1,,,,,,,,,,,
,Total constant currency revenues of 89.3 billion for the three months ended September 30 2024 increased 12.6 billion,,,,,,,,,,
