0,1,2,3,4,5,6,7,8
Issuer Purchases of Equity Securities,,,,,,,,
,The following table presents information with respect to Alphabet's repurchases of Class A and Class C stock,,,,,,,
during the quarter ended September 30 2024.,,,,,,,,
,,,,,,,Total Number of,Approximate
,,,,,,,Shares,Dollar Value of
,,,,,,,Purchased as,Shares that May
,Total Number of,Total Number of,,,,,Part of Publicly,Yet e
,Class A Shares,Class C Shares,,,,,Announced,Purchased
,Purchased,Purchased,,Average Price,,Average Price,Programs,Under the
,in thousands,in thousands,,Paid per Class,,Paid per Class,in thousands,Program
,,,,,,,,
Period,,,,A Share 2,,C Share 2,,in millions
July 1 - 31,6230,24043,,181.08,,182.81,30273," 
69418"
