0,1,2,3,4,5,6,7,8,9,10,11,12
Offsetting of Assets,,,,,,,,,,,,
,,,,,As of December 31 2019,,,,,,,
,,,,,,,Gross Amounts Not Offset in the Consolidated,,,,,
,,,,,,,alance Sheets but Have Legal Rights to Offset,,,,,
,,Gross,Gross Amounts,Net Presented,,,,,,,,
,,Amounts of,Offset in the,in the,,,Cash,,Non-Cash,,,
,,Recognized,Consolidated,Consolidated,,Financial,Collateral,,Collateral,,,Net Assets
,,Assets,alance Sheets,alance Sheets,,Instruments,Received,,Received,,,Exposed
,,,,,,1,,,,,,
Derivatives,,366,"
21","
345",,88,"
234",,,0.0,,23
,,,,,As of December 31 2020,,,,,,,
,,,,,,,Gross Amounts Not Offset in the Consolidated,,,,,
,,,,,,,alance Sheets but Have Legal Rights to Offset,,,,,
,,Gross,Gross Amounts,Net Presented,,,,,,,,
,,Amounts of,Offset in the,in the,,,,,Non-Cash,,,
,,Recognized,Consolidated,Consolidated,,Financial,Cash Collateral,,Collateral,,,Net Assets
,,Assets,alance Sheets,alance Sheets,,Instruments,Received,,Received,,,Exposed
,,,,,,1,,,,,,
Derivatives,,397,"
32","
365",,295,"
16",,,0.0,,54
1,,,,,,,,,,,,
,The balances as of December 31 2019 and 2020 were related to derivative liabilities which are allowed to be net settled against,,,,,,,,,,,
