0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Consolidated Statements of Income Data:,,,,,,,,,,,,,,,,,,,,,,,
Revenues,,36339.0,,,38944.0,,,40499.0,,,46075.0,,,41159.0,,,38297.0,,,46173.0,,56898.0,
Costs and expenses:,,,,,,,,,,,,,,,,,,,,,,,
Cost of revenues,16012.0,,,17296.0,,,17568.0,,,21020.0,,,18982.0,,,18553.0,,,21117.0,,,26080.0,
"Research and
development",6029.0,,,6213.0,,,6554.0,,,7222.0,,,6820.0,,,6875.0,,,6856.0,,,7022.0,
Sales and marketing,3905.0,,,4212.0,,,4609.0,,,5738.0,,,4500.0,,,3901.0,,,4231.0,,,5314.0,
"General and
administrative",2088.0,,,2043.0,,,2591.0,,,2829.0,,,2880.0,,,2585.0,,,2756.0,,,2831.0,
"European Commission
fines",1697.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
Total costs and expenses,29731.0,,,29764.0,,,31322.0,,,36809.0,,,33182.0,,,31914.0,,,34960.0,,,41247.0,
Income from operations,6608.0,,,9180.0,,,9177.0,,,9266.0,,,7977.0,,,6383.0,,,11213.0,,,15651.0,
Other income expense net,1538.0,,,2967.0,,,549.0,,,1438.0,,,220.0,,,1894.0,,,2146.0,,,3038.0,
Income before income taxes,8146.0,,,12147.0,,,8628.0,,,10704.0,,,7757.0,,,8277.0,,,13359.0,,,18689.0,
Provision for income taxes,1489.0,,,2200.0,,,1560.0,,,33.0,,,921.0,,,1318.0,,,2112.0,,,3462.0,
Net income,,6657.0,,,9947.0,,,7068.0,,,10671.0,,,6836.0,,,6959.0,,,11247.0,,15227.0,
,,,,,,,,,,,,,,,,,,,,,,,
"asic net income per share of
Class A and  common stock
and Class C capital stock",,9.58,,,14.33,,,10.2,,,15.49,,,9.96,,,10.21,,,16.55,,,22.54
"Diluted net income per share
of Class A and  common
stock and Class C capital
stock",,9.5,,,14.21,,,10.12,,,15.35,,,9.87,,,10.13,,,16.4,,,22.3
