0,1,2,3,4,5,6,7,8,9,10,11,12
,,Maturity,,Coupon Rate,,"Effective Interest
Rate",,"As of
December 31
2019",,,"As of
December 31
2020",
Debt,,,,,,,,,,,,
2011-2016 Notes Issuances,,2021 - 2026,,2.00 - 3.63,,2.23 - 3.73,,,4000.0,,,4000.0
2020 Notes Issuance,,2025 - 2060,,0.45 - 2.25,,0.57 - 2.33,,0,,,10000,
Future finance lease payments net1,,,,,,,,711,,,1201,
Total debt,,,,,,,,4711,,,15201,
"Unamortized discount and debt
issuance costs",,,,,,,,42,,,169,
Less: Current portion of Notes2,,,,,,,,0,,,999,
"Less: Current portion future finance
lease payments net12",,,,,,,,115,,,101,
Total long-term debt,,,,,,,,,4554.0,,,13932.0
