0,1,2,3,4,5,6,7,8,9,10,11
Unrealized gains losses on available-for-sale investments,,,,,,,,,,,
,,Other income expense net,,,1190.0,,,149.0,,,650.0
,,"enefit provision for income
taxes",,279.0,,,38.0,,,137.0,
,,Net of tax,,911.0,,,111.0,,,513.0,
Unrealized gains losses on cash flow hedges,,,,,,,,,,,
Foreign exchange contracts,,Revenue,,139.0,,,367.0,,,144.0,
Interest rate contracts,,Other income expense net,,6.0,,,6.0,,,6.0,
,,"enefit provision for income
taxes",,35.0,,,74.0,,,34.0,
,,Net of tax,,98.0,,,299.0,,,116.0,
Total amount reclassified net of tax,,,,,813.0,,,410.0,,,629.0
