0,1,2,3,4,5,6,7,8,9,10,11,12,13
alance as of December 31 2018,,17521.0,,,0.0,,,0.0,,,367.0,,17888.0
Acquisitions,2353.0,,,0.0,,,0.0,,,475.0,,2828.0,
Transfers,9.0,,,0.0,,,0.0,,,9.0,,0.0,
"Foreign currency translation and other
adjustments",38.0,,,0.0,,,0.0,,,130.0,,92.0,
alance as of December 31 2019,19921.0,,,0.0,,,0.0,,,703.0,,20624.0,
Acquisitions,,,,,,,,,,,,,
"Foreign currency translation and other
adjustments",46.0,,,0.0,,,0.0,,,4.0,,42.0,
Allocation in the fourth quarter of 20201,,,,,,,,,,,,,
Acquisitions,0.0,,,53.0,,,189.0,,,0.0,,242.0,
"Foreign currency translation and other
adjustments",,,,,,,,,,,,,
alance as of December 31 2020,,0.0,,,18517.0,,,1957.0,,,701.0,,21175.0
