0,1,2,3,4,5,6,7,8
asic net income per share:,,,,,,,,
Numerator,,,,,,,,
Allocation of undistributed earnings,,13200.0,,,2072.0,,,15464.0
Denominator,,,,,,,,
Number of shares used in per share computation,298548.0,,,46864.0,,,349728.0,
asic net income per share,,44.22,,,44.22,,,44.22
Diluted net income per share:,,,,,,,,
Numerator,,,,,,,,
Allocation of undistributed earnings for basic computation,,13200.0,,,2072.0,,,15464.0
Reallocation of undistributed earnings as a result of conversion of Class  to Class A shares,2072.0,,,0.0,,,0.0,
Reallocation of undistributed earnings,146.0,,,24.0,,,146.0,
Allocation of undistributed earnings,,15126.0,,,2048.0,,,15610.0
Denominator,,,,,,,,
Number of shares used in basic computation,298548.0,,,46864.0,,,349728.0,
Weighted-average effect of dilutive securities,,,,,,,,
Add:,,,,,,,,
Conversion of Class  to Class A common shares outstanding,46864.0,,,0.0,,,0.0,
Restricted stock units and other contingently issuable shares,689.0,,,0.0,,,7456.0,
Number of shares used in per share computation,346101.0,,,46864.0,,,357184.0,
Diluted net income per share,,43.7,,,43.7,,,43.7
