0,1,2,3,4,5,6
amounts in prior periods have been recast:,,,,,,
,,,Year Ended December 31,,,
,,2019.0,,2020.0,,2021.0
Revenues:,,,,,,
Google Services,,151825.0,,168635.0,,237529.0
Google Cloud,,8918.0,,13059.0,,19206.0
Other ets,,659.0,,657.0,,753.0
Hedging gains losses,,455.0,,176.0,,149.0
Total revenues,,161857.0,,182527.0,,257637.0
Operating income loss:,,,,,,
Google Services,,48999.0,,54606.0,,91855.0
Google Cloud,,4645.0,,5607.0,,3099.0
Other ets,,4824.0,,4476.0,,5281.0
1,,,,,,
Corporate costs unallocated,,5299.0,,3299.0,,4761.0
Total income from operations,,34231.0,,41224.0,,78714.0
