0,1,2,3,4,5,6,7,8
,,As of December 31 2021,,,,As of December 31 2022,,
,,Assets1,,Liabilities2,,Assets1,,Liabilities2
Derivatives designated as hedging,,,,,,,,
instruments:,,,,,,,,
Foreign exchange contracts,,867,,8,,271,,556
Derivatives not designated as hedging,,,,,,,,
instruments:,,,,,,,,
Foreign exchange contracts,,42,,452,,365,,207
Other contracts,,52,,121,,40,,47
Total derivatives not designated as hedging,,,,,,,,
instruments,,94,,573,,405,,254
Total,,961,,581,,676,,810
1,Derivative assets are recorded as other current and non-current assets in the Consolidated alance Sheets.,,,,,,,
