0,1,2,3,4,5,6,7,8,9,10
"Fair value changes
recorded in other
comprehensive income",,,,,,,,,,
Time deposits1 Level 2  5297  0  0  5297  5293  4,,,,,,,,,,
Government bonds Level 2,41036.0,,64.0,,2045.0,,39055,,283.0,38772.0
Corporate debt securities Level 2 28578 8 1569 27017 1 27016,,,,,,,,,,
"Mortgage-backed and
asset-backed securities Level 2",16176.0,,5.0,,1242.0,,14939,,0.0,14939.0
"Total investments with
fair value change
reflected in Other
Comprehensive
Income2  91087  77  4856  86308  5577  80731",,,,,,,,,,
"Fair value adjustments
recorded in net income",,,,,,,,,,
Money market funds Level 1  7234  7234  0,,,,,,,,,,
"Current marketable
equity securities3 Level 1",,,,,,,4013 0 4013,,,
Mutual funds Level 2 339 0 339,,,,,,,,,,
Government bonds Level 2,,,,,,,1877 440 1437,,,
Corporate debt securities Level 2 3744 65 3679,,,,,,,,,,
"Mortgage-backed and Level 2
asset-backed securities",,,,,,,1686 2 1684,,,
"Total investments with
fair value change
recorded in Net
Income  18893  7741  11152",,,,,,,,,,
Cash 0 8561 0,,,,,,,,,,
Total  91087  77  4856  105201  21879  91883,,,,,,,,,,
