0,1,2,3,4,5,6,7
,Total outstanding debt is summarized below in millions except percentages:,,,,,,
,,,,,,As of December 31,
,,,Effective,,,,
,Maturity,Coupon Rate,Interest Rate,,2022.0,,2023.0
Debt,,,,,,,
2014-2020 Notes issuances,2024 - 2060,0.45 - 3.38,0.57 - 3.38,,13000.0,,13000.0
Future finance lease payments net and,,,,,,,
other 1,,,,,2142.0,,1746.0
Total debt,,,,,15142.0,,14746.0
Unamortized discount and debt,,,,,,,
issuance costs,,,,,143.0,,130.0
Less: Current portion of long-term,,,,,,,
notes2,,,,,0.0,,1000.0
Less: Current portion of future finance,,,,,,,
lease payments net and other current,,,,,,,
debt12,,,,,298.0,,363.0
Total long-term debt,,,,,14701.0,,13253.0
1,,,,,,,
