0,1
,2023.0
Revenues  257637  282836  307394,
Costs and expenses:,
Cost of revenues 110939 126203 133332,
Research and development 31562 39500 45427,
Sales and marketing 22912 26567 27917,
General and administrative 13510 15724 16425,
Total costs and expenses 178923 207994 223101,
Income from operations 78714 74842 84293,
Other income expense net 12020 3514 1424,
Income before income taxes 90734 71328 85717,
Provision for income taxes 14701 11356 11922,
Net income  76033  59972  73795,
,
asic net income per share of Class A Class  and Class C stock  5.69  4.59  5.84,
Diluted net income per share of Class A Class  and Class C stock  5.61  4.56  5.80,
