0,1,2,3,4
"Fair value changes
recorded in other
comprehensive income",,,,
Time deposits Level 2  5297  0  0  5297  5293  4,,,,
Government bonds Level 2 41036,64 2045,,39055 283 38772,
Corporate debt securities Level 2 28578 8 1569 27017 1 27016,,,,
"Mortgage-backed and
asset-backed securities Level 2 16176",5 1242,,14939 0 14939,
"Total investments with
fair value change
reflected in other
comprehensive
income1  91087  77  4856  86308  5577  80731",,,,
"Fair value adjustments
recorded in net income",,,,
Money market funds Level 1  7234  7234  0,,,,
"Current marketable Level 1
equity securities2",,,4013 0 4013,
Mutual funds Level 2 339 0 339,,,,
Government bonds Level 2,,,1877 440 1437,
Corporate debt securities Level 2 3744 65 3679,,,,
"Mortgage-backed and Level 2
asset-backed securities",,,1686 2 1684,
"Total investments with
fair value change
recorded in net
income  18893  7741  11152",,,,
Cash,,,0,8561 0
Total  91087  77  4856  105201  21879  91883,,,,
