0,1,2,3,4
,,,December 31,
,,2023.0,,2024.0
Operating leases:,,,,
Operating lease assets,,14091.0,,13588.0
Accrued expenses and other liabilities,,2791.0,,2887.0
Operating lease liabilities,,12460.0,,11691.0
Total operating lease liabilities,,15251.0,,14578.0
Finance Leases:,,,,
Property and equipment at cost,,4403.0,,4622.0
Accumulated depreciation,,1652.0,,2037.0
Property and equipment net,,2751.0,,2585.0
Accrued expenses and other liabilities,,283.0,,235.0
Other long-term liabilities,,1383.0,,1442.0
Total finance lease liabilities,,1666.0,,1677.0
