0,1,2,3
Operating leases:,,,
Operating lease assets  14091  13588,,,
Accrued expenses and other liabilities  2791  2887,,,
Operating lease liabilities 12460 11691,,,
Total operating lease liabilities,15251.0,,14578.0
Finance Leases:,,,
Property and equipment at cost  4403  4622,,,
Accumulated depreciation 1652 2037,,,
Property and equipment net  2751  2585,,,
Accrued expenses and other liabilities  283  235,,,
Other long-term liabilities 1383 1442,,,
Total finance lease liabilities  1666  1677,,,
