0,1
asic net income per share:,
Numerator,
Allocation of distributed earnings cash dividends paid, 0  0  0  0
Allocation of undistributed earnings,34601 5124 34070 73795
Net income, 34601  5124  34070  73795
Denominator,
Number of shares used in per share computation,5922 877 5831 12630
asic net income per share, 5.84  5.84  5.84  5.84
Diluted net income per share:,
Numerator,
Allocation of total earnings for basic computation, 34601  5124  34070  73795
"Reallocation of total earnings as a result of conversion of Class  to
Class A shares",5124 0 0 _1
Reallocation of undistributed earnings,287 37 287 _1
Net income, 39438  5087  34357  73795
Denominator,
Number of shares used in basic computation,5922 877 5831 12630
Weighted-average effect of dilutive securities,
Add:,
Conversion of Class  to Class A shares outstanding,877 0 0 _1
Restricted stock units and other contingently issuable shares,0 0 92 92
Number of shares used in per share computation,6799 877 5923 12722
Diluted net income per share, 5.80  5.80  5.80  5.80
